model,target,MAE,RMSE,R2
LinearRegression,throughput_bps,1747679.4512324054,4595696.541257874,0.7826088941193423
RandomForest,throughput_bps,113902.71578404984,587584.970358988,0.9964463026295572
LinearRegression,SINR_dB,0.913831099774574,1.2177821671737783,0.980109543308322
RandomForest,SINR_dB,0.1112320240983479,0.1780124692395702,0.9995749829198244
LinearRegression,RSRP_dBm,1.23944225253562e-13,2.0270238236068735e-13,1.0
RandomForest,RSRP_dBm,0.0004911963341629,0.0056717593889441,0.9999994587004608
LinearRegression,latency_ms,1.7158638746494062,2.1314139644910792,0.9968541835720058
RandomForest,latency_ms,1.6871415341124312,2.069851728063864,0.9970332822163296
LinearRegression,PER,0.1221293692203268,0.14748948769506,0.7676023267266963
RandomForest,PER,0.0096546120914747,0.0157264573374656,0.9973577649840072
